,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
33,Deferred Tax Assets,27556000,20372000,30614000,26226000,22229000,22954000,29554000,27249000,34365000,26263000,30656000,33280000,36918000,35912000,33661000,36005000,34166000,32711000,30200000,32322000,31000000,29661000,24818000,21078000,1634719000,1610109000,1606267000,
34,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Prepaid Pension Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Investments in Affiliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Miscellaneous Long Term Assets,66986000,52002000,58087000,58448000,60290000,61484000,70349000,70896000,69386000,64371000,64372000,64314000,64603000,66737000,98443000,72873000,76642000,79331000,85839000,88612000,96410000,92570000,95810000,102721000,106299000,103092000,105578000,
39,Total Noncurrent Assets,902873000,877824000,894136000,909325000,928509000,956919000,3049581000,3047804000,3018119000,3002714000,2984809000,2979229000,2953947000,2942418000,2957165000,2995415000,2969638000,19087216000,18926352000,18789956000,18675569000,18588180000,18432059000,18337653000,19843098000,19695836000,19559592000,
40,Total Assets,5716808000,5841036000,6138626000,6381750000,6399468000,6594951000,8973465000,6859690000,6821156000,7048475000,7134701000,7058777000,7598081000,7570292000,7685053000,7970278000,10203371000,26622683000,21114995000,21141294000,20853315000,20776454000,20548616000,20449779000,21828278000,21776325000,21566650000,
41,Payables & Accruals,265139000,264960000,232806000,323084000,274258000,303269000,341296000,430621000,354681000,398127000,375753000,438904000,295833000,367310000,351249000,431396000,454960000,750321000,651414000,822360000,657016000,811195000,769104000,851721000,1517479000,1514228000,1547557000,
42,Accounts Payable,113879000,118261000,113350000,119994000,124619000,132194000,142653000,138967000,123456000,156300000,152683000,174247000,138302000,165790000,160416000,171439000,156653000,190245000,228127000,236629000,223107000,213267000,215688000,260919000,222552000,208243000,220230000,
43,Accrued Taxes,28199000,12487000,6927000,45490000,10678000,27191000,40664000,62770000,17683000,32626000,35154000,15062000,8122000,5627000,2396000,4100000,5346000,60563000,22301000,86905000,48599000,105085000,127920000,93722000,706656000,647714000,649228000,
44,Interest & Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Other Payables & Accruals,123061000,134212000,112529000,157600000,138961000,143884000,157979000,228884000,213542000,209201000,187916000,249595000,149409000,195893000,188437000,255857000,292961000,499513000,400986000,498826000,385310000,492843000,425496000,497080000,588271000,658271000,678099000,
46,Short Term Debt,0,0,0,,,,1995398000,0,,374664000,374752000,374594000,0,0,0,0,,4321169000,,300000000,50000000,56000000,22500000,67000000,0,374165000,411434000,
47,Short Term Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Short Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Current Portion of Long Term Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Other Short Term Liabilities,243396000,244202000,259003000,247428000,245236000,267933000,285832000,278435000,278228000,295428000,307265000,300087000,298272000,317290000,327444000,351538000,356666000,377792000,449663000,473972000,529532000,565668000,547279000,487417000,43334000,42661000,45778000,
51,Deferred Revenue,243396000,244202000,259003000,247428000,245236000,267933000,285832000,278435000,278228000,295428000,307265000,300087000,298272000,317290000,327444000,351538000,356666000,377792000,449663000,473972000,529532000,565668000,547279000,487417000,,,,
52,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Miscellaneous Short Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,43334000,42661000,45778000,
56,Total Current Liabilities,508535000,509162000,491809000,570512000,519494000,571202000,2622526000,709056000,632909000,1068219000,1057770000,1113585000,594105000,684600000,678693000,782934000,811626000,5449282000,1101077000,1596332000,1236548000,1432863000,1338883000,1406138000,1560813000,1931054000,2004769000,
57,Long Term Debt,759672000,757855000,872104000,872241000,872378000,872515000,872652000,872789000,872926000,498399000,498448000,495341000,1730948000,1731336000,1731758000,1732177000,3805400000,8572364000,8199230000,7551084000,7384856000,6926441000,6532746000,6265674000,6234517000,5612365000,5278643000,
58,Long Term Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Long Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Other Long Term Liabilities,124804000,113429000,131477000,199421000,211961000,219711000,471090000,519948000,509111000,517649000,513322000,376892000,278166000,280655000,291269000,289549000,279914000,2634442000,1891788000,1832338000,1884132000,1831795000,1820770000,1789427000,2447511000,2490648000,2493001000,
61,Accrued Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pension Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Other Post-Retirement Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Deferred Compensation,28904000,14862000,16240000,17364000,18047000,18867000,20003000,21110000,21286000,22163000,24075000,23753000,23329000,24612000,26178000,26152000,25699000,27323000,31506000,32572000,38847000,37367000,40960000,39846000,,,,
66,Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Deferred Tax Liabilities,1129000,4498000,19460000,6037000,17506000,21203000,276234000,235791000,241367000,246866000,243263000,227376000,128572000,125196000,133412000,109931000,103244000,2431410000,1730253000,1674683000,981866000,943117000,932813000,927065000,2288615000,2228822000,2171029000,
68,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Miscellaneous Long Term Liabilities,94771000,94069000,95777000,176020000,176408000,179641000,174853000,263047000,246458000,248620000,245984000,125763000,126265000,130847000,131679000,153466000,150971000,175709000,130029000,125083000,863419000,851311000,846997000,822516000,158896000,261826000,321972000,
71,Total Noncurrent Liabilities,884476000,871284000,1003581000,1071662000,1084339000,1092226000,1343742000,1392737000,1382037000,1016048000,1011770000,872233000,2009114000,2011991000,2023027000,2021726000,4085314000,11206806000,10091018000,9383422000,9268988000,8758236000,8353516000,8055101000,8682028000,8103013000,7771644000,
72,Total Liabilities,1393011000,1380446000,1495390000,1642174000,1603833000,1663428000,3966268000,2101793000,2014946000,2084267000,2069540000,1985818000,2603219000,2696591000,2701720000,2804660000,4896940000,16656088000,11192095000,10979754000,10505536000,10191099000,9692399000,9461239000,10242841000,10034067000,9776413000,
73,Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,Share Capital & Additional Paid-In Capital,558080000,638153000,746360000,763721000,775609000,833370000,845341000,694927000,703462000,759438000,771330000,686495000,577508000,399617000,413604000,453633000,509479000,5205806000,5251496000,5311960000,5379744000,5424425000,5472168000,5343916000,5172445000,5178830000,5122155000,
75,Common Stock,50998000,51362000,51783000,51842000,52089000,52359000,52370000,51869000,51939000,52258000,52280000,52011000,51671000,51226000,51247000,51363000,51535000,61170000,61279000,61441000,61635000,61817000,61946000,61694000,61387000,61628000,61569000,
76,Additional Paid in Capital,507082000,586791000,694577000,711879000,723520000,781011000,792971000,643058000,651523000,707180000,719050000,634484000,525837000,348391000,362357000,402270000,457944000,5144636000,5190217000,5250519000,5318109000,5362608000,5410222000,5282222000,5111058000,5117202000,5060586000,
77,Other Share Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Treasury Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Retained Earnings,3829412000,3889469000,3960785000,4056401000,4102963000,4174601000,4239109000,4231496000,4295169000,4375625000,4466592000,4437315000,4477161000,4517809000,4619285000,4785799000,4873245000,4827495000,4730146000,4910939000,5012392000,5213941000,5449515000,5703064000,6491013000,6659449000,6821755000,
80,Other Equity,-63695000,-67032000,-63909000,-80546000,-82937000,-76448000,-77253000,-168526000,-192421000,-170855000,-172761000,-50851000,-59807000,-43725000,-49556000,-73814000,-76293000,-66706000,-58742000,-61359000,-44357000,-53011000,-65466000,-58440000,-78021000,-96021000,-153673000,
81,Equity Before Minority Interest,4323797000,4460590000,4643236000,4739576000,4795635000,4931523000,5007197000,4757897000,4806210000,4964208000,5065161000,5072959000,4994862000,4873701000,4983333000,5165618000,5306431000,9966595000,9922900000,10161540000,10347779000,10585355000,10856217000,10988540000,11585437000,11742258000,11790237000,
82,Minority Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Total Equity,4323797000,4460590000,4643236000,4739576000,4795635000,4931523000,5007197000,4757897000,4806210000,4964208000,5065161000,5072959000,4994862000,4873701000,4983333000,5165618000,5306431000,9966595000,9922900000,10161540000,10347779000,10585355000,10856217000,10988540000,11585437000,11742258000,11790237000,
84,Total Liabilities & Equity,5716808000,5841036000,6138626000,6381750000,6399468000,6594951000,8973465000,6859690000,6821156000,7048475000,7134701000,7058777000,7598081000,7570292000,7685053000,7970278000,10203371000,26622683000,21114995000,21141294000,20853315000,20776454000,20548616000,20449779000,21828278000,21776325000,21566650000,
