Date,Open,High,Low,Close,Adj Close,Volume
1/1/2016,102.610001,105.849998,92.389999,97.339996,90.961533,1271848000
2/1/2016,96.470001,98.889999,92.589996,96.690002,90.354164,810862600
3/1/2016,97.650002,110.419998,97.419998,108.989998,102.400795,746049600
4/1/2016,108.779999,112.389999,92.510002,93.739998,88.072762,872383700
5/1/2016,93.970001,100.730003,89.470001,99.860001,93.822777,900671500
6/1/2016,99.019997,101.889999,91.5,95.599998,90.367195,779497700
7/1/2016,95.489998,104.550003,94.370003,104.209999,98.50592,685779600
8/1/2016,104.410004,110.230003,104,106.099998,100.29245,630128500
9/1/2016,106.139999,116.18,102.529999,113.050003,107.440933,968015600
10/1/2016,112.709999,118.690002,112.279999,113.540001,107.906609,686914300
11/1/2016,113.459999,113.769997,104.080002,110.519997,105.036453,721555000
12/1/2016,110.370003,118.019997,108.25,115.82,110.638626,608771700
1/1/2017,115.800003,122.440002,114.760002,121.349998,115.921227,563122000
2/1/2017,127.029999,137.479996,127.010002,136.990005,130.861588,574968600
3/1/2017,137.889999,144.5,137.050003,143.660004,137.828171,561628400
4/1/2017,143.710007,145.460007,140.059998,143.649994,137.818558,373304100
5/1/2017,145.100006,156.649994,144.270004,152.759995,146.558746,653981800
6/1/2017,153.169998,155.979996,142.199997,144.020004,138.743896,684178100
7/1/2017,144.880005,153.990005,142.410004,148.729996,143.281311,422011900
8/1/2017,149.100006,164.520004,148.410004,164,157.991928,661069000
9/1/2017,164.800003,164.940002,149.160004,154.119995,149.0569,680374100
10/1/2017,154.259995,169.649994,152.460007,169.039993,163.486755,504291300
11/1/2017,169.869995,176.240005,165.279999,171.850006,166.204468,600663400
12/1/2017,169.949997,177.199997,166.460007,169.229996,164.258896,531183800
1/1/2018,170.160004,180.100006,164.699997,167.429993,162.51178,659679400
2/1/2018,167.169998,180.619995,150.240005,178.119995,172.887787,927894300
3/1/2018,178.539993,183.5,164.940002,167.779999,163.515457,713727700
4/1/2018,166.639999,178.940002,160.630005,165.259995,161.059509,666154300
5/1/2018,166.410004,190.369995,165.270004,186.869995,182.120239,620976300
6/1/2018,187.990005,194.199997,180.729996,185.110001,181.100647,527624500
7/1/2018,183.820007,195.960007,183.419998,190.289993,186.168427,393691400
8/1/2018,199.130005,228.869995,197.309998,227.630005,222.699677,700318900
9/1/2018,228.410004,229.669998,215.300003,225.740005,221.625168,678972000
10/1/2018,227.949997,233.470001,206.089996,218.860001,214.87059,789748500
11/1/2018,219.050003,222.360001,170.259995,178.580002,175.324814,961326400
12/1/2018,184.460007,184.940002,146.589996,157.740005,155.405045,898922500
1/1/2019,154.889999,169,142,166.440002,163.976242,828087400
2/1/2019,166.960007,175.869995,165.929993,173.149994,170.586929,472540600
3/1/2019,174.279999,197.690002,169.5,189.949997,187.940842,650981400
4/1/2019,191.639999,208.479996,188.380005,200.669998,198.547455,506117700
5/1/2019,209.880005,215.309998,174.990005,175.070007,173.218231,739456600
6/1/2019,175.600006,201.570007,170.270004,197.919998,196.580658,515187300
7/1/2019,203.169998,221.369995,198.410004,213.039993,211.598358,473957000
8/1/2019,213.899994,218.029999,192.580002,208.740005,207.327454,681074600
9/1/2019,206.429993,226.419998,204.220001,223.970001,223.299591,542567100
10/1/2019,225.070007,249.75,215.130005,248.759995,248.015381,608302700
11/1/2019,249.539993,268,249.160004,267.25,266.450043,448331500
12/1/2019,267.269989,272.559998,256.290009,271.459991,271.459991,222782300
12/13/2019,271.459991,275.299988,270.929993,275.149994,275.149994,33432806
