Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,206.380005,206.880005,198.550003,199.449997,181.628922,3183506000
2015-02-01,200.050003,212.240005,197.860001,210.660004,191.837326,1901638100
2015-03-01,210.779999,212.059998,204.119995,206.429993,187.985245,2749923000
2015-04-01,206.389999,212.479996,204.509995,208.460007,190.681259,2036685200
2015-05-01,209.399994,213.779999,206.759995,211.139999,193.132706,1892519900
2015-06-01,211.940002,213.339996,205.279999,205.850006,188.293823,2535242600
2015-07-01,207.729996,213.179993,204.110001,210.500000,193.483856,2452758000
2015-08-01,210.460007,211.309998,182.399994,199.160004,183.060547,4340428600
2015-09-01,193.119995,202.889999,186.929993,191.630005,176.139252,3279512900
2015-10-01,192.080002,209.440002,189.119995,208.889999,193.002197,3220136500
2015-11-01,208.320007,211.660004,202.179993,208.690002,192.817383,1924512800
2015-12-01,209.440002,211.000000,199.830002,203.869995,188.364029,2924882300
2016-01-01,200.490005,201.899994,181.020004,193.720001,180.051224,3712950900
2016-02-01,192.529999,196.679993,181.089996,193.559998,179.902512,2920730800
2016-03-01,195.009995,206.869995,194.449997,205.520004,191.018616,2323306500
2016-04-01,204.350006,210.919998,203.089996,206.330002,192.760559,1910635600
2016-05-01,206.919998,210.690002,202.779999,209.839996,196.039734,1828530900
2016-06-01,209.119995,212.520004,198.649994,209.479996,195.703400,2612406900
2016-07-01,209.479996,217.539993,207.059998,217.119995,203.895813,1648453700
2016-08-01,217.190002,219.600006,214.250000,217.380005,204.139938,1519703200
2016-09-01,217.369995,219.220001,212.309998,216.300003,203.125748,2292393000
2016-10-01,215.820007,216.699997,211.210007,212.550003,200.612442,1725687400
2016-11-01,212.929993,221.820007,208.380005,220.380005,208.002670,2073824400
2016-12-01,220.729996,228.339996,219.149994,223.529999,210.975754,1821910200
2017-01-01,225.039993,229.710007,223.880005,227.529999,216.016876,1482408500
2017-02-01,227.529999,237.309998,226.820007,236.470001,224.504486,1365136600
2017-03-01,238.389999,240.320007,231.610001,235.740005,223.811447,1921474100
2017-04-01,235.800003,239.529999,232.509995,238.080002,227.016373,1549613700
2017-05-01,238.679993,242.080002,235.429993,241.440002,230.220230,1492547000
2017-06-01,241.970001,245.009995,239.960007,241.800003,230.563507,1572753000
2017-07-01,242.880005,248.000000,240.339996,246.770004,236.450043,1055908800
2017-08-01,247.460007,248.910004,241.830002,247.490005,237.139923,1557031500
2017-09-01,247.919998,251.320007,244.949997,251.229996,240.723511,1286405100
2017-10-01,251.490005,257.890015,251.289993,257.149994,247.618698,1320624600
2017-11-01,258.040009,266.049988,255.630005,265.010010,255.187408,1365620900
2017-12-01,264.760010,268.600006,260.760010,266.859985,256.968872,1715222900
2018-01-01,267.839996,286.630005,267.399994,281.899994,272.838898,1985506700
2018-02-01,281.070007,283.059998,252.919998,271.649994,262.918365,2923722000
2018-03-01,271.410004,280.410004,257.829987,263.149994,254.691589,2323561800
2018-04-01,262.549988,271.299988,254.669998,264.510010,257.033203,1998466500
2018-05-01,263.869995,274.250000,259.049988,270.940002,263.281403,1606397200
2018-06-01,272.410004,279.480011,268.489990,271.279999,263.611816,1599001000
2018-07-01,269.510010,284.369995,269.239990,281.329987,274.605255,1266892500
2018-08-01,281.559998,291.739990,279.160004,290.309998,283.370636,1308443700
2018-09-01,289.839996,293.940002,286.709991,290.720001,283.770874,1228103300
2018-10-01,292.109985,293.209991,259.850006,270.630005,265.356873,3024345800
2018-11-01,271.600006,281.220001,263.070007,275.649994,270.279083,2021061200
2018-12-01,280.279999,280.399994,233.759995,249.919998,245.050400,3102780500
2019-01-01,245.979996,270.470001,243.669998,269.929993,266.216064,2048691700
2019-02-01,270.149994,281.309998,267.829987,278.679993,274.845673,1371716300
2019-03-01,280.440002,285.179993,272.420013,282.480011,278.593445,1678081300
2019-04-01,284.700012,294.450012,284.399994,294.019989,291.251892,1209204700
2019-05-01,294.720001,294.950012,275.239990,275.269989,272.678406,1845593200
2019-06-01,275.309998,296.309998,273.089996,293.000000,290.241486,1340324000
2019-07-01,296.679993,302.230011,294.329987,297.429993,296.062775,1110504200
2019-08-01,297.600006,300.869995,281.720001,292.450012,291.105682,2031106700
2019-09-01,290.570007,302.630005,289.269989,296.769989,295.405792,1303830000
2019-10-01,297.739990,304.549988,284.820007,303.329987,303.329987,1386748300
2019-11-01,304.920013,315.480011,304.739990,314.309998,314.309998,1037123500
2019-12-01,314.589996,317.989990,307.130005,317.130005,317.130005,525732500
2019-12-13,316.869995,318.670013,316.019989,317.290009,317.290009,81546487
