,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
32,Prepaid Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Prepaid Pension Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Investments in Affiliates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Miscellaneous Long Term Assets,2169919000,2148974000,2747631000,2175000000,2267000000,1973000000,3815000000,5222000000,1333000000,1332000000,1385000000,2121000000,2610000000,2615000000,5302000000,5016000000,1779000000,1552000000,1622000000,2120000000,2202000000,2126000000,2129000000,1885000000,3027000000,,,
39,Total Noncurrent Assets,23589745000,23072222000,24383528000,23706000000,23731000000,23217000000,26050000000,27651000000,23110000000,22994000000,25831000000,27092000000,27231000000,26843000000,26519000000,25890000000,51558000000,51168000000,50871000000,56103000000,55944000000,54293000000,53441000000,52541000000,53201000000,,,
40,Total Assets,42686613000,42903346000,44132477000,42953000000,41662000000,41475000000,42514000000,41207000000,43095000000,44125000000,41725000000,41247000000,39637000000,39831000000,39497000000,52666000000,70887000000,71151000000,72248000000,76250000000,70908000000,68415000000,71637000000,67173000000,67610000000,,,
41,Payables & Accruals,6500937000,6093451000,6123289000,5948000000,5639000000,5649000000,5520000000,5350000000,5933000000,5994000000,5997000000,5683000000,5420000000,5416000000,5189000000,5090000000,6436000000,6582000000,7220000000,8198000000,8273000000,8104000000,8502000000,8805000000,8904000000,,,
42,Accounts Payable,1087979000,1042248000,1008912000,1026000000,1074000000,1062000000,965000000,1064000000,1012000000,1000000000,1007000000,1081000000,1053000000,1153000000,1051000000,1178000000,1481000000,1667000000,1858000000,2402000000,2476000000,2503000000,2730000000,2975000000,3045000000,,,
43,Accrued Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Interest & Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Other Payables & Accruals,5412958000,5051203000,5114377000,4922000000,4565000000,4587000000,4555000000,4286000000,4921000000,4994000000,4990000000,4602000000,4367000000,4263000000,4138000000,3912000000,4955000000,4915000000,5362000000,5796000000,5797000000,5601000000,5772000000,5830000000,5859000000,,,
46,Short Term Debt,3635850000,4523778000,4859876000,3173000000,4378000000,3962000000,4582000000,4437000000,2972000000,2899000000,2402000000,3130000000,2613000000,2896000000,2535000000,1325000000,210000000,221000000,715000000,714000000,737000000,847000000,4274000000,207000000,209000000,,,
47,Short Term Borrowings,3358255000,4259614000,4595867000,3164000000,4370000000,3953000000,4376000000,4382000000,2921000000,2867000000,2370000000,3127000000,2610000000,2892000000,2531000000,1322000000,207000000,218000000,211000000,206000000,230000000,341000000,211000000,200000000,201000000,,,
48,Short Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Current Portion of Long Term Debt,277595000,264164000,264009000,9000000,8000000,9000000,206000000,55000000,51000000,32000000,32000000,3000000,3000000,4000000,4000000,3000000,3000000,3000000,504000000,508000000,507000000,506000000,4063000000,7000000,8000000,,,
50,Other Short Term Liabilities,269539000,302385000,348500000,386000000,169000000,242000000,721000000,680000000,301000000,292000000,356000000,373000000,360000000,361000000,597000000,245000000,,,,,,,,,,,,
51,Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Miscellaneous Short Term Liabilities,269539000,302385000,348500000,386000000,169000000,242000000,721000000,680000000,301000000,292000000,356000000,373000000,360000000,361000000,597000000,245000000,,,,,,,,,,,,
56,Total Current Liabilities,10406326000,10919614000,11331665000,9507000000,10186000000,9853000000,10823000000,10467000000,9206000000,9185000000,8755000000,9186000000,8393000000,8673000000,8321000000,6660000000,6646000000,6803000000,7935000000,8912000000,9010000000,8951000000,12776000000,9012000000,9113000000,,,
57,Long Term Debt,3466576000,3410759000,3403069000,3388000000,3387000000,3403000000,3719000000,3393000000,5931000000,5862000000,5953000000,5871000000,5977000000,6016000000,5975000000,20681000000,23764000000,23810000000,23310000000,27210000000,21154000000,19823000000,19284000000,19359000000,18845000000,,,
58,Long Term Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Long Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Other Long Term Liabilities,6130436000,6145327000,5609812000,4791000000,4600000000,4515000000,4979000000,5708000000,5970000000,5952000000,5798000000,4864000000,4425000000,4347000000,4305000000,4608000000,8930000000,8750000000,8785000000,9030000000,9143000000,8867000000,8679000000,8080000000,8523000000,,,
61,Accrued Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pension Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Other Post-Retirement Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Deferred Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Deferred Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Miscellaneous Long Term Liabilities,6130436000,6145327000,5609812000,4791000000,4600000000,4515000000,4979000000,5708000000,5970000000,5952000000,5798000000,4864000000,4425000000,4347000000,4305000000,4608000000,8930000000,8750000000,8785000000,9030000000,9143000000,8867000000,8679000000,8080000000,8523000000,,,
71,Total Noncurrent Liabilities,9597012000,9556086000,9012881000,8179000000,7987000000,7918000000,8698000000,9101000000,11901000000,11814000000,11751000000,10735000000,10402000000,10363000000,10280000000,25289000000,32694000000,32560000000,32095000000,36240000000,30297000000,28690000000,27963000000,27439000000,27368000000,,,
72,Total Liabilities,20003338000,20475700000,20344546000,17686000000,18173000000,17771000000,19521000000,19568000000,21107000000,20999000000,20506000000,19921000000,18795000000,19036000000,18601000000,31949000000,39340000000,39363000000,40030000000,45152000000,39307000000,37641000000,40739000000,36451000000,36481000000,,,
73,Preferred Equity,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
