date,Open,High,Low,Close,closeAdj,Volume
1/29/1993,43.96875,43.96875,43.75,43.9375,26.583992,1003200
2/1/1993,43.96875,44.25,43.96875,44.25,26.773048,480500
2/2/1993,44.21875,44.375,44.125,44.34375,26.829773,201300
2/3/1993,44.40625,44.84375,44.375,44.8125,27.113388,529400
2/4/1993,44.96875,45.09375,44.46875,45,27.226835,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,27.207933,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,27.207933,596100
2/9/1993,44.8125,44.8125,44.5625,44.65625,27.018862,122100
2/10/1993,44.65625,44.75,44.53125,44.71875,27.056664,379600
2/11/1993,44.78125,45.125,44.78125,44.9375,27.189011,19500
2/12/1993,44.875,44.875,44.59375,44.59375,26.981041,42500
2/16/1993,44.46875,44.46875,43.40625,43.46875,26.300381,374800
2/17/1993,43.46875,43.53125,43.28125,43.4375,26.281454,210900
2/18/1993,43.9375,43.9375,42.8125,43.40625,26.262545,378100
2/19/1993,43.40625,43.5625,43.34375,43.5625,26.357092,34900
2/22/1993,43.6875,43.78125,43.5625,43.71875,26.451626,513600
2/23/1993,43.84375,43.875,43.46875,43.6875,26.43273,373700
2/24/1993,43.71875,44.25,43.71875,44.25,26.773048,26300
2/25/1993,44.21875,44.375,44.125,44.34375,26.829773,44500
2/26/1993,44.4375,44.4375,44.1875,44.40625,26.867605,66200
3/1/1993,44.5625,44.5625,44.21875,44.28125,26.791973,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,27.189011,182400
3/3/1993,45,45.15625,44.9375,45.125,27.302458,280100
3/4/1993,45.1875,45.1875,44.875,44.875,27.151203,89500
3/5/1993,44.9375,45.125,44.71875,44.75,27.075581,40000
3/8/1993,44.84375,45.75,44.84375,45.75,27.680622,50800
3/9/1993,45.65625,45.6875,45.5,45.59375,27.586077,169300
3/10/1993,45.59375,45.6875,45.40625,45.6875,27.642799,194400
3/11/1993,45.71875,45.84375,45.5,45.5625,27.567169,70900
3/12/1993,45.1875,45.21875,44.8125,45.09375,27.283571,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,27.41592,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,27.41592,30800
3/17/1993,45.25,45.25,44.96875,45.03125,27.24575,21800
3/18/1993,45.21875,45.5,45.21875,45.3125,27.41592,59300
3/19/1993,45.28125,45.28125,45.03125,45.03125,27.37442,66900
3/22/1993,44.59375,44.875,44.5625,44.78125,27.222435,183400
3/23/1993,44.90625,44.9375,44.8125,44.875,27.279446,55200
3/24/1993,44.8125,45.0625,44.59375,44.875,27.279446,37200
3/25/1993,44.90625,45.25,44.84375,45.15625,27.450409,110100
3/26/1993,45.125,45.15625,44.875,44.90625,27.298443,101500
3/29/1993,44.9375,45.3125,44.9375,45.09375,27.412409,87100
3/30/1993,45.15625,45.21875,45.09375,45.21875,27.488407,56000
3/31/1993,45.34375,45.46875,45.1875,45.1875,27.469414,111600
4/1/1993,45.25,45.25,44.9375,45.03125,27.37442,129500
4/2/1993,44.65625,44.65625,44.09375,44.09375,26.804527,59400
4/5/1993,44.4375,44.4375,44.1875,44.3125,26.937492,172200
4/6/1993,44.40625,44.40625,44.0625,44.1875,26.861509,129700
4/7/1993,44.25,44.34375,44.15625,44.34375,26.95648,28000
4/8/1993,44.53125,44.53125,44.09375,44.28125,26.918497,180800
4/12/1993,44.71875,44.9375,44.65625,44.90625,27.298443,348500
4/13/1993,44.875,45.15625,44.84375,45,27.355431,146100
4/14/1993,45.03125,45.0625,44.90625,44.9375,27.317444,119600
4/15/1993,44.90625,45.03125,44.75,44.9375,27.317444,148600
4/16/1993,44.96875,45.03125,44.875,44.9375,27.317444,47900
4/19/1993,44.9375,45.0625,44.71875,44.75,27.203442,157000
4/20/1993,44.6875,44.75,44.25,44.53125,27.070471,279500
4/21/1993,44.625,44.625,44.375,44.5,27.051485,67900
4/22/1993,44.3125,44.6875,43.9375,43.9375,26.709526,97700
4/23/1993,43.84375,43.96875,43.6875,43.75,26.595543,106000
4/26/1993,43.78125,43.9375,43.28125,43.40625,26.386591,62600
4/27/1993,43.34375,43.875,43.34375,43.875,26.671541,156800
4/28/1993,43.8125,43.90625,43.71875,43.78125,26.614557,85900
4/29/1993,43.875,43.96875,43.625,43.96875,26.728535,85000
4/30/1993,44.125,44.28125,44.03125,44.03125,26.766541,88500
5/3/1993,44.09375,44.3125,43.90625,44.3125,26.937492,80500
5/4/1993,44.40625,44.625,44.34375,44.46875,27.032497,149100
5/5/1993,44.46875,44.75,44.46875,44.59375,27.108465,109000
5/6/1993,44.53125,44.5625,44.40625,44.4375,27.013489,54700
5/7/1993,44.46875,44.46875,44.28125,44.34375,26.95648,68000
5/10/1993,44.40625,44.6875,44.40625,44.4375,27.013489,113900
5/11/1993,44.4375,44.625,44.3125,44.625,27.12747,42600
5/12/1993,44.4375,44.59375,44.4375,44.5625,27.089479,31000
5/13/1993,44.375,44.375,44,44.03125,26.766541,129100
5/14/1993,44.03125,44.15625,43.96875,44,26.747532,63500
5/17/1993,44.125,44.15625,43.9375,44.15625,26.842501,34000
5/18/1993,44.1875,44.21875,43.96875,44.125,26.823513,105200
5/19/1993,44.125,45.03125,43.84375,45.03125,27.37442,50200
5/20/1993,45.03125,45.15625,44.9375,45.15625,27.450409,98200
5/21/1993,45.1875,45.25,44.71875,44.75,27.203442,221400
5/24/1993,44.84375,45.09375,44.84375,44.9375,27.317444,30500
5/25/1993,45.125,45.125,45.03125,45.03125,27.37442,191800
5/26/1993,45.15625,45.625,45.125,45.59375,27.716377,102400
5/27/1993,45.65625,45.65625,45.375,45.4375,27.621386,53800
5/28/1993,45.40625,45.40625,45,45.21875,27.488407,79100
6/1/1993,45.375,45.8125,45.3125,45.65625,27.754353,28300
6/2/1993,45.53125,45.75,45.34375,45.59375,27.716377,20300
6/3/1993,45.5,45.5,45.34375,45.4375,27.621386,21600
