,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
33,Deferred Tax Assets,986000000,896000000,821000000,666000000,680000000,656000000,693000000,662000000,597000000,571000000,503000000,410000000,599000000,483000000,503000000,227000000,778000000,757000000,760000000,130000000,94000000,83000000,88000000,97000000,108000000,,,
34,Derivative & Hedging Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Prepaid Pension Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Discontinued Operations,105000000,0,1151000000,1254000000,1129000000,0,0,,152000000,150000000,,882000000,,0,0,3343000000,,,,,,,,,,,,
37,Investments in Affiliates,1195000000,1177000000,1025000000,1010000000,1030000000,1000000000,704000000,537000000,586000000,562000000,601000000,610000000,611000000,615000000,626000000,621000000,674000000,683000000,1164000000,1197000000,1282000000,1327000000,1277000000,1114000000,1147000000,,,
38,Miscellaneous Long Term Assets,2746000000,2678000000,2654000000,2711000000,3031000000,2975000000,2881000000,3051000000,4446000000,4632000000,4489000000,4207000000,3961000000,4084000000,4018000000,3658000000,3997000000,3965000000,4263000000,3666000000,3650000000,3781000000,3542000000,3404000000,3607000000,,,
39,Total Noncurrent Assets,33460000000,33026000000,32999000000,32672000000,32984000000,32026000000,31096000000,31140000000,30355000000,31069000000,29780000000,29628000000,29953000000,29593000000,29814000000,29708000000,30107000000,30151000000,32174000000,26714000000,27135000000,27310000000,27474000000,27506000000,27616000000,,,
40,Total Assets,42718000000,40836000000,41250000000,40411000000,40973000000,39433000000,38983000000,38966000000,37997000000,38584000000,37000000000,36470000000,36900000000,36974000000,37108000000,36124000000,36508000000,36469000000,38834000000,33112000000,32573000000,32597000000,32489000000,32521000000,33471000000,,,
41,Payables & Accruals,5617000000,5232000000,4668000000,4636000000,4953000000,4572000000,4726000000,4864000000,4742000000,4555000000,4204000000,4093000000,4352000000,3765000000,3820000000,2571000000,4065000000,3802000000,4464000000,2831000000,2788000000,2742000000,2722000000,2732000000,2674000000,,,
42,Accounts Payable,2951000000,2622000000,2156000000,2259000000,2632000000,2130000000,2203000000,2278000000,2051000000,1994000000,1729000000,1571000000,1739000000,1434000000,1426000000,1238000000,1657000000,1684000000,2091000000,1371000000,1317000000,1506000000,1299000000,1329000000,1224000000,,,
43,Accrued Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Interest & Dividends Payable,415000000,275000000,396000000,263000000,395000000,272000000,402000000,260000000,346000000,244000000,341000000,236000000,333000000,249000000,368000000,216000000,365000000,225000000,353000000,228000000,289000000,200000000,272000000,191000000,265000000,,,
45,Other Payables & Accruals,2251000000,2335000000,2116000000,2114000000,1926000000,2170000000,2121000000,2326000000,2345000000,2317000000,2134000000,2286000000,2280000000,2082000000,2026000000,1117000000,2043000000,1893000000,2020000000,1232000000,1182000000,1036000000,1151000000,1212000000,1185000000,,,
46,Short Term Debt,3615000000,3041000000,2503000000,2180000000,2075000000,2095000000,2347000000,2133000000,1831000000,1999000000,2300000000,2172000000,2220000000,1610000000,1091000000,1052000000,1137000000,2572000000,2257000000,2164000000,2025000000,1235000000,1308000000,1659000000,1265000000,,,
47,Short Term Borrowings,3615000000,3041000000,2503000000,2180000000,2075000000,2095000000,2347000000,2133000000,1831000000,1999000000,2300000000,2172000000,2220000000,1610000000,1091000000,1052000000,1137000000,2572000000,2257000000,2164000000,2025000000,1235000000,1308000000,1659000000,1265000000,,,
48,Short Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Current Portion of Long Term Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
