,Line Item,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019
40,Total Assets,22219000000,22209000000,22209000000,21042000000,21166000000,21588000000,21876000000,22289000000,22884000000,23152000000,23459000000,23640000000,23385000000,23793000000,24134000000,24699000000,24811000000,25254000000,25617000000,25945000000,26079000000,26639000000,26959000000,27215000000,,,,
41,Payables & Accruals,622000000,622000000,622000000,892000000,663000000,667000000,571000000,796000000,528000000,584000000,628000000,866000000,528000000,601000000,623000000,898000000,560000000,626000000,654000000,1001000000,594000000,674000000,699000000,910000000,,,,
42,Accounts Payable,533000000,533000000,533000000,806000000,559000000,575000000,466000000,711000000,434000000,486000000,525000000,777000000,429000000,499000000,513000000,805000000,460000000,522000000,548000000,902000000,497000000,565000000,591000000,817000000,,,,
43,Accrued Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Interest & Dividends Payable,89000000,89000000,89000000,86000000,104000000,92000000,105000000,85000000,94000000,98000000,103000000,89000000,99000000,102000000,110000000,93000000,100000000,104000000,106000000,99000000,97000000,109000000,108000000,93000000,,,,
45,Other Payables & Accruals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Short Term Debt,355000000,355000000,355000000,902000000,1348000000,912000000,872000000,834000000,1335000000,1281000000,1178000000,696000000,716000000,1209000000,1039000000,1239000000,1595000000,1470000000,1223000000,1325000000,2130000000,1353000000,1170000000,1177000000,,,,
47,Short Term Borrowings,,0,,368000000,700000000,793000000,753000000,714000000,955000000,886000000,783000000,301000000,581000000,778000000,608000000,558000000,914000000,892000000,446000000,484000000,960000000,506000000,521000000,597000000,,,,
48,Short Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Current Portion of Long Term Debt,355000000,355000000,355000000,534000000,648000000,119000000,119000000,120000000,380000000,395000000,395000000,395000000,135000000,431000000,431000000,681000000,681000000,578000000,777000000,841000000,1170000000,847000000,649000000,580000000,,,,
50,Other Short Term Liabilities,1683000000,1683000000,1683000000,667000000,714000000,733000000,676000000,619000000,657000000,691000000,683000000,531000000,595000000,620000000,629000000,537000000,607000000,669000000,704000000,614000000,621000000,684000000,711000000,600000000,,,,
51,Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Derivatives & Hedging,92000000,92000000,92000000,,,,,,,,,,,,,,,,,,,,,,,,,
53,Deferred Tax Liabilities,50000000,50000000,50000000,55000000,89000000,132000000,161000000,46000000,79000000,126000000,160000000,43000000,77000000,124000000,159000000,46000000,77000000,122000000,159000000,52000000,91000000,139000000,154000000,53000000,,,,
54,Discontinued Operations,1166000000,1166000000,1166000000,45000000,33000000,33000000,33000000,33000000,34000000,32000000,30000000,29000000,28000000,27000000,27000000,,,,,,,,,,,,,
55,Miscellaneous Short Term Liabilities,375000000,375000000,375000000,567000000,592000000,568000000,482000000,540000000,544000000,533000000,493000000,459000000,490000000,469000000,443000000,491000000,530000000,547000000,545000000,562000000,530000000,545000000,557000000,547000000,,,,
56,Total Current Liabilities,2660000000,2660000000,2660000000,2461000000,2725000000,2312000000,2119000000,2249000000,2520000000,2556000000,2489000000,2093000000,1839000000,2430000000,2291000000,2674000000,2762000000,2765000000,2581000000,2940000000,3345000000,2711000000,2580000000,2687000000,,,,
57,Long Term Debt,5802000000,5802000000,5802000000,5504000000,5226000000,5825000000,5825000000,6085000000,5860000000,5981000000,5981000000,6880000000,6881000000,6605000000,6607000000,6595000000,6597000000,6821000000,6922000000,7094000000,6766000000,7613000000,7614000000,7859000000,,,,
58,Long Term Borrowings,5802000000,5802000000,5802000000,5504000000,5226000000,5825000000,5825000000,6085000000,5860000000,5981000000,5981000000,6880000000,6881000000,6605000000,6607000000,6595000000,6597000000,6821000000,6922000000,7094000000,6766000000,7613000000,7614000000,7859000000,,,,
59,Long Term Capital Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Other Long Term Liabilities,6990000000,6980000000,6980000000,6391000000,6560000000,6737000000,7016000000,7100000000,7658000000,7709000000,7833000000,7579000000,7654000000,7694000000,7901000000,8185000000,8246000000,8368000000,8627000000,8585000000,8596000000,8787000000,8967000000,8896000000,,,,
61,Accrued Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pension Liabilities,1138000000,1138000000,1138000000,466000000,480000000,463000000,400000000,705000000,708000000,689000000,666000000,580000000,581000000,537000000,499000000,769000000,768000000,758000000,711000000,545000000,541000000,545000000,529000000,558000000,,,,
63,Pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Other Post-Retirement Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Deferred Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Deferred Tax Liabilities,3246000000,3236000000,3236000000,3313000000,3402000000,3586000000,3904000000,3635000000,4029000000,3995000000,4146000000,3945000000,3987000000,4085000000,4311000000,4319000000,4374000000,4496000000,4771000000,2555000000,2611000000,2630000000,2737000000,2666000000,,,,
68,Derivatives & Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Miscellaneous Long Term Liabilities,2606000000,2606000000,2606000000,2612000000,2678000000,2688000000,2712000000,2760000000,2921000000,3025000000,3021000000,3054000000,3086000000,3072000000,3091000000,3097000000,3104000000,3114000000,3145000000,5485000000,5444000000,5612000000,5701000000,5672000000,,,,
